# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
Proxima Cen b,Confirmed,0.004,0.0006,0.0006,0.004,0.0006,0.0006,,,,11.186,0.001,0.001,0.0485,0.0041,0.0041,0,0,0.35,,,,,2016,24/08/2016,,,,,,,,,,,,,,,,,,,,,,,,,1.38,0.21,0.21,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"HIP 70890 b, GL 551 C b, alpha Cen C b",,Proxima Centauri,217.4291667,-62.67944447,11.13,,,,,1.295,,,,,,0.12,0.015,0.015,0.141,0.021,0.021,M5.5V,,,,3050,100,100,,,"HIP 70890, GL 551, alpha Cen C"
alf Cen B b,Confirmed,0.0036,0.0003,0.0003,0.0036,0.0003,0.0003,,,,3.2357,0.0008,0.0008,0.04,,,0,,,,,,,2012,05/11/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,alpha Cen B,219.8958,-60.8375,1.33,,,,,1.295,,,,,,0.934,0.006,0.006,0.8632,0.0037,0.0037,K1V,,,,5214,33,33,,,
WISE 0855-0714,Confirmed,6,4,4,,,,,,,,,,,,,,,,,,,,2014,02/06/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,WISE 0855-0714,133.7958333,-7.245277792,,,,,,2.31,0.08,0.08,,,,,,,,,,,3,2,7,,,,,,
Lalande 21185 b,Confirmed,0.012,,,0.012,,,,,,9.8693,0.0016,0.0016,,,,,,,,,,,2017,14/02/2017,,,,,,,,,,,,,,,,,,,,,,,,,1.9,0.31,0.31,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,Lalande 21185,165.8333333,35.97000002,,,,,,2.55,0.005,0.005,,,,0.46,,,0.393,,,M1.5V,,,,3828,,,,,
eps Eridani b,Confirmed,3.09,0.742,0.949,1.55,0.24,0.24,,,,2502,10,10,3.39,0.36,0.36,0.702,0.039,0.039,30.1,3.8,3.8,1.059375,2000,29/07/2016,47,3,3,54207,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,"HR 1084, SAO 130564, GJ 144, HD 22049",,eps Eridani,53.2291667,-9.4580556,3.73,,,,,3.2,,,-0.13,0.04,0.04,0.83,0.05,0.05,0.895,0.085,0.085,K2 V,0.66,,,5116,,,Imaging,,HD 22049
GJ 15 A b,Confirmed,0.016832898,0.002359752,0.002359752,0.016832898,0.002359752,0.002359752,,,,11.4433,0.0016,0.0016,0.0717,0.0034,0.0034,0,,,,,,,2014,23/02/2016,,,,,,,2455874.95,0.21,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 15 A,4.595355508,44.02295228,8.08,,,,,3.587,0.01,0.01,-0.32,0.17,0.17,0.375,0.057,0.057,0.3863,0.0021,0.0021,M2V,,,,3567,11,11,,,"HD 1326A, HIP 1475, GX Andromedae, Groombridge 34, M2"
YZ Cet b,Confirmed,0.0024,0.00041,0.00041,0.0024,0.00041,0.00041,,,,1.96876,0.00021,0.00021,0.01557,0.00052,0.00052,0,0,0.12,,,,,2017,15/08/2017,,,,,,,2456846.911,0.095,0.095,,,,,,,,,,,,,,,,1.48,0.25,0.25,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,YZ Cet,18.12708334,-16.99888892,12.074,,,,6.42,3.6,,,-0.26,0.08,0.08,0.13,0.013,0.013,0.168,0.009,0.009,M4.5,4,0.6,0.6,3056,60,60,,,
YZ Cet c,Confirmed,0.0031,0.00044,0.00044,0.0031,0.00044,0.00044,,,,3.06008,0.00022,0.00022,0.0209,0.0007,0.0007,0.04,0.04,0.11,,,,,2017,15/08/2017,,,,,,,2456847.05,0.14,0.14,,,,,,,,,,,,,,,,1.68,0.23,0.23,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,YZ Cet,18.12708334,-16.99888892,12.074,,,,6.42,3.6,,,-0.26,0.08,0.08,0.13,0.013,0.013,0.168,0.009,0.009,M4.5,4,0.6,0.6,3056,60,60,,,
YZ Cet d,Confirmed,0.00359,0.00053,0.00053,0.00359,0.00053,0.00053,,,,4.65627,0.00042,0.00042,0.02764,0.00093,0.00093,0.129,0.096,0.096,,,,,2017,15/08/2017,,,,,,,2456847.44,0.16,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"HIP 5643, GJ 54.1",,YZ Cet,18.12708334,-16.99888892,12.074,,,,6.42,3.6,,,-0.26,0.08,0.08,0.13,0.013,0.013,0.168,0.009,0.009,M4.5,4,0.6,0.6,3056,60,60,,,
tau Cet e,Confirmed,0.0124,0.002,0.0026,0.0124,0.002,0.0026,,,,162.87,0.46,1.08,0.538,0.006,0.006,0.18,0.14,0.18,,,,,2012,15/08/2017,22,46,75,,,,,,,,,,,,,,,,,,,,,,0.55,0.09,0.13,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HD 10700 e,,tau Cet,26.0167,-15.9375,3.5,,,,,3.65,0.002,0.002,-0.55,0.05,0.05,0.783,0.012,0.012,0.793,0.004,0.004,G8.5 V,5.8,,,5344,50,50,Imaging,,
